(-4832.5503,2698.4019,2249.7273),
(-5003.813,2798.071,2249.7273),
(-5003.12,2998.61,2249.7273),
(-4832.5503,3097.0884,2249.7273),
(-6489.6924,25.1046,2249.7273),
(-6490.8833,369.6926,2249.7273),
(-6190.67,197.7451,2249.7273),
(-4658.5317,2798.071,2249.7273),
(1574.077,-5001.5015,1581.7548),
(-4658.5317,2997.4192,2249.7273),
(1574.077,-4802.1533,1581.7548),
(1400.0587,-5101.171,1581.7548),
(1228.796,-5001.5015,1581.7548),
(1229.489,-4800.9624,1581.7548),
(1400.0587,-4702.4844,1581.7548),
(-1513.153,-6702.255,1581.7548),
(-1812.1752,-6874.8955,1581.7548),
(1923.8257,-5202.255,1081.7548),
(-1614.0227,-6875.58,1581.7548),
(162.8627,-6700.4497,1581.7548),
(461.8801,-6529.187,1581.7548),
(460.6844,-6875.153,1581.7548),
(-1712.5011,-6102.053,1081.7548),
(-1813.366,-6530.3076,1581.7548),
(-5870.403,-102.2549,1749.7274),
(-1911.8445,-6700.877,1581.7548),
(-1612.8271,-6529.6143,1581.7548),
(-4308.495,-5202.053,1081.7548),
(-3693.4634,2724.42,2249.7273),
(-5178.147,297.4191,2249.7273),
(-5522.7354,298.61,2249.7273),
(-5352.1655,397.0884,2249.7273),
(-5352.1655,-1.5982,2249.7273),
(-5523.428,98.071,2249.7273),
(-5178.147,98.071,2249.7273),
(-3692.2678,3070.3855,2249.7273),
(-3991.2854,2899.1228,2249.7273),
(-2582.9329,-6801.5845,1581.7548),
(-2756.9512,-6901.254,1581.7548),
(2267.4841,-3938.3347,1931.9581),
(-2756.9512,-6502.5674,1581.7548),
(-2582.9329,-6602.2363,1581.7548),
(-2928.2139,-6801.5845,1581.7548),
(-2927.521,-6601.0454,1581.7548),
(-3791.942,3497.745,1749.7274),
(-58.9308,-5975.153,1581.7548),
(-4831.177,-105.4429,1749.7274),
(-356.7526,-5800.4497,1581.7548),
(-5870.403,1697.7451,1749.7274),
(-57.7352,-5629.187,1581.7548),
(-5350.7876,2597.745,1749.7274),
(-4831.1724,3497.745,1749.7274),
(-582.0345,-5074.7256,1581.7548),
(-879.8563,-4900.0225,1581.7548),
(-580.8389,-4728.76,1581.7548),
(-4932.464,-4729.88,1581.7548),
(-4931.273,-5074.468,1581.7548),
(-4632.251,-4901.8276,1581.7548),
(-5350.7876,-1002.2549,1749.7274),
(-1297.0283,-5974.468,1581.7548),
