GROUP,DEVICE,NUM,UID,X,Y,Z,T_X,T_Y,T_Z,PI IP,NODE ID,DEVICE_TYPE,CONFIG,INSTALLED,NODE_TYPE,CONTROL IP
SR:7:RH:4,PL,5,18,-3327.4911,1798.3461,2390.8522,-3327.4911,1798.3461,1890.8522,172.23.0.87,400874,actuator,,,RH,
SR:7:RH:4,PL,4,11,-3478.0091,1590.4283,2503.3489,-3478.0091,1590.4283,2003.3489,172.23.0.87,400874,actuator,,,RH,
SR:7:RH:4,PL,3,33,-3743.5104,1620.0844,2418.6694,-3743.5104,1620.0844,1918.6694,172.23.0.87,400874,actuator,,,RH,
SR:7:RH:4,PL,2,8,-3757.0811,1846.3307,2253.8378,-3757.0811,1846.3307,1753.8378,172.23.0.87,400874,actuator,,,RH,
SR:7:RH:4,PL,1,7,-3499.9671,1956.5025,2236.6458,-3499.9671,1956.5025,1736.6458,172.23.0.87,400874,actuator,,,RH,
SR:7:RH:3,PL,5,18,-3228.5873,1956.6027,2599.9309,-3228.5873,1956.6027,2099.9309,172.23.0.87,400873,actuator,,,RH,
SR:7:RH:3,PL,4,11,-3472.1305,1620.1846,2781.9544,-3472.1305,1620.1846,2281.9544,172.23.0.87,400873,actuator,,,RH,
SR:7:RH:3,PL,3,33,-3901.7205,1668.1692,2644.94,-3901.7205,1668.1692,2144.94,172.23.0.87,400873,actuator,,,RH,
SR:7:RH:3,PL,2,8,-3923.6785,2034.2434,2378.2369,-3923.6785,2034.2434,1878.2369,172.23.0.87,400873,actuator,,,RH,
SR:7:RH:3,PL,1,7,-3507.6593,2212.5052,2350.4197,-3507.6593,2212.5052,1850.4197,172.23.0.87,400873,actuator,,,RH,
SR:7:RH:2,PL,5,18,-3317.9793,1846.4928,2841.6454,-3317.9793,1846.4928,2341.6454,172.23.0.87,400872,actuator,,,RH,
SR:7:RH:2,PL,4,11,-3733.9986,1668.2311,2869.4625,-3733.9986,1668.2311,2369.4625,172.23.0.87,400872,actuator,,,RH,
