GROUP,DEVICE,NUM,UID,X,Y,Z,T_X,T_Y,T_Z,PI IP,NODE ID,DEVICE_TYPE,CONFIG,INSTALLED,NODE_TYPE,CONTROL IP
MG:3:MU:1,MO,1,5,-1680.6266,-204.097,1067.3537,0,0,0,172.23.1.75,379778,actuator,,,MU,172.23.1.99
MG:3:MU:1,MO,2,20,-1672.3841,-269.804,1182.1429,0,0,0,172.23.1.75,379778,actuator,,,MU,172.23.1.99
MG:3:MU:1,MO,3,16,-1788.5756,-331.2155,1202.7969,0,0,0,172.23.1.75,379778,actuator,,,MU,172.23.1.99
MG:3:MU:1,MO,4,17,-1868.6133,-303.3218,1100.6777,0,0,0,172.23.1.75,379778,actuator,,,MU,172.23.1.99
MG:3:MU:1,MO,--,--,-1802.4862,-224.7082,1016.5549,0,0,0,172.23.1.75,379778,actuator,,,MU,172.23.1.99
MG:3:MU:1,DR,1,3,-1545.3817,239.7314,1444.9717,0,0,0,172.23.1.75,379778,actuator,BOTTOMPIN 4;,,MU,172.23.1.99
MG:3:MU:1,MO,5,6,-1554.8019,161.6349,1318.0158,0,0,0,172.23.1.75,379778,actuator,,,MU,172.23.1.99
MG:3:MU:1,MO,6,21,-1641.5999,261.5007,1328.2801,0,0,0,172.23.1.75,379778,actuator,,,MU,172.23.1.99
MG:3:MU:1,MO,7,26,-1697.1125,255.8498,1448.7623,0,0,0,172.23.1.75,379778,actuator,,,MU,172.23.1.99
MG:3:MU:1,MO,8,31,-1643.9357,151.5885,1513.2366,0,0,0,172.23.1.75,379778,actuator,,,MU,172.23.1.99
MG:3:MU:1,MO,--,--,-1556.3291,93.703,1432.3896,0,0,0,172.23.1.75,379778,actuator,,,MU,172.23.1.99
MG:3:MU:1,DR,2,25,-1495.8656,-202.3724,1420.2279,0,0,0,172.23.1.75,379778,actuator,BOTTOMPIN 32;,,MU,172.23.1.99
MG:3:MU:1,MO,9,22,-1587.9735,-236.2193,1305.1603,0,0,0,172.23.1.75,379778,actuator,,,MU,172.23.1.99
MG:3:MU:1,MO,10,23,-1520.1464,-122.7339,1292.9099,0,0,0,172.23.1.75,379778,actuator,,,MU,172.23.1.99
MG:3:MU:1,MO,11,29,-1533.3867,-54.8497,1407.2407,0,0,0,172.23.1.75,379778,actuator,,,MU,172.23.1.99
MG:3:MU:1,MO,12,30,-1609.1125,-126.568,1488.9964,0,0,0,172.23.1.75,379778,actuator,,,MU,172.23.1.99
MG:3:MU:1,MO,--,--,-1642.8733,-238.7499,1425.9578,0,0,0,172.23.1.75,379778,actuator,,,MU,172.23.1.99
MG:3:MU:1,DR,3,9,-1728.3816,-348.5237,1063.7505,0,0,0,172.23.1.75,379778,actuator,BOTTOMPIN 10;,,MU,172.23.1.99
MG:3:MU:2,MO,1,5,-1894.5144,115.6074,971.5946,0,0,0,172.23.1.75,435146,actuator,,,MU,172.23.1.99
MG:3:MU:2,MO,2,20,-1800.727,22.7791,959.3996,0,0,0,172.23.1.75,435146,actuator,,,MU,172.23.1.99
MG:3:MU:2,MO,3,16,-1860.2072,-96.209,960.9291,0,0,0,172.23.1.75,435146,actuator,,,MU,172.23.1.99
MG:3:MU:2,MO,4,17,-1990.8226,-76.781,974.1433,0,0,0,172.23.1.75,435146,actuator,,,MU,172.23.1.99
MG:3:MU:2,MO,--,--,-2012.7293,54.0044,980.8372,0,0,0,172.23.1.75,435146,actuator,,,MU,172.23.1.99
MG:3:MU:2,DR,1,3,-1921.6004,7.7323,868.1792,0,0,0,172.23.1.75,435146,actuator,BOTTOMPIN 4;,,MU,172.23.1.99
MG:3:MU:2,MO,5,6,-1872.8339,331.3998,1234.3196,0,0,0,172.23.1.75,435146,actuator,,,MU,172.23.1.99
MG:3:MU:2,MO,6,21,-1744.0254,303.1131,1221.2756,0,0,0,172.23.1.75,435146,actuator,,,MU,172.23.1.99
MG:3:MU:2,MO,7,26,-1726.2095,246.5447,1102.1914,0,0,0,172.23.1.75,435146,actuator,,,MU,172.23.1.99
MG:3:MU:2,MO,8,31,-1844.1554,239.8646,1041.7218,0,0,0,172.23.1.75,435146,actuator,,,MU,172.23.1.99
MG:3:MU:2,MO,--,--,-1935.2914,292.1411,1122.9063,0,0,0,172.23.1.75,435146,actuator,,,MU,172.23.1.99
MG:3:MU:2,DR,2,25,-1808.5002,374.0619,1103.7868,0,0,0,172.23.1.75,435146,actuator,BOTTOMPIN 32;,,MU,172.23.1.99
MG:3:GN:1,GE,1,18,-1508.8289,43.7723,1043.7379,0,0,0,172.23.1.75,379770,sensor,,,GN,172.23.1.99
MG:2:MU:1,MO,1,5,1939.4102,1155.3665,729.1328,1810.6,393.076,546.048,172.23.1.72,379754,actuator,,,MU,172.23.1.99
