GROUP,DEVICE,NUM,UID,X,Y,Z,T_X,T_Y,T_Z,PI IP,NODE ID,DEVICE_TYPE,CONFIG,INSTALLED,NODE_TYPE,CONTROL IP
SR:1:F1:1,OS,1,--,-4831.1725,702.2549,2249.7274,0,0,0,172.23.1.67,258613,actuator,,,F1,172.23.1.99
SR:1:F1:1,MO,6,31,-4731.4984,529.6144,2249.7274,0,0,0,172.23.1.67,258613,actuator,,,F1,172.23.1.99
SR:1:F1:1,MO,5,26,-4932.0374,530.3074,2249.7274,0,0,0,172.23.1.67,258613,actuator,,,F1,172.23.1.99
SR:1:F1:1,MO,4,21,-5030.5158,700.8771,2249.7274,0,0,0,172.23.1.67,258613,actuator,,,F1,172.23.1.99
SR:1:F1:1,MO,3,17,-4930.8465,874.8954,2249.7274,0,0,0,172.23.1.67,258613,actuator,,,F1,172.23.1.99
SR:1:F1:1,MO,2,16,-4732.694,875.5802,2249.7274,0,0,0,172.23.1.67,258613,actuator,,,F1,172.23.1.99
SR:1:F1:1,MO,1,20,-4631.8244,702.2549,2249.7274,0,0,0,172.23.1.67,258613,actuator,,,F1,172.23.1.99
SR:1:F1:1,RS,1,3,-4658.5319,801.929,2249.7274,0,0,0,172.23.1.67,258613,actuator,,,F1,172.23.1.99
SR:1:F1:1,RS,2,4,-4832.5503,901.5982,2249.7274,0,0,0,172.23.1.67,258613,actuator,,,F1,172.23.1.99
SR:1:F1:1,RS,3,5,-5003.813,801.929,2249.7274,0,0,0,172.23.1.67,258613,actuator,,,F1,172.23.1.99
SR:1:F1:1,RS,4,25,-5003.12,601.39,2249.7274,0,0,0,172.23.1.67,258613,actuator,,,F1,172.23.1.99
SR:1:F1:1,RS,5,32,-4832.5503,502.9116,2249.7274,0,0,0,172.23.1.67,258613,actuator,,,F1,172.23.1.99
SR:1:F1:1,RS,6,6,-4658.5319,602.5809,2249.7274,0,0,0,172.23.1.67,258613,actuator,,,F1,172.23.1.99
SR:1:ND:1,SD,1,29,-5177.578,402.2549,2249.7274,0,0,0,172.23.1.67,258613,sensor,ENVELOPEPIN 30;,,F1,172.23.1.99
SR:1:GN:1,GE,1,18,-4831.1725,702.2549,2049.7274,0,0,0,172.23.1.67,432772,sensor,,,GN,172.23.1.99
SR:1:F2:2,RS,1,9,-4213.0788,1775.5802,2249.7274,0,0,0,172.23.1.67,336641,actuator,,,PF,172.23.1.99
SR:1:F2:2,MO,1,23,-4411.2313,1774.8954,2249.7274,0,0,0,172.23.1.67,336641,actuator,,,PF,172.23.1.99
SR:1:F2:2,MO,2,29,-4412.4221,1430.3074,2249.7274,0,0,0,172.23.1.67,336641,actuator,,,PF,172.23.1.99
SR:1:F2:2,MO,3,30,-4112.2091,1602.2549,2249.7274,0,0,0,172.23.1.67,336641,actuator,,,PF,172.23.1.99
SR:1:F2:2,RS,3,22,-4211.8832,1429.6144,2249.7274,0,0,0,172.23.1.67,336641,actuator,,,PF,172.23.1.99
SR:1:F2:2,RS,2,10,-4510.9006,1600.8771,2249.7274,0,0,0,172.23.1.67,336641,actuator,,,PF,172.23.1.99
SR:1:P1:1,PC,1,25,-4311.5572,1002.2549,1749.7274,0,0,0,172.23.1.67,336641,actuator,,,PF,172.23.1.99
SR:1:P1:1,SM,1,32,-4232.3968,1004.4009,1749.7274,0,0,0,172.23.1.67,336641,actuator,,,PF,172.23.1.99
SR:1:P1:1,SM,3,21,-4349.2789,932.627,1749.7274,0,0,0,172.23.1.67,336641,actuator,,,PF,172.23.1.99
SR:1:P1:1,SM,2,6,-4352.9959,1069.7368,1749.7274,0,0,0,172.23.1.67,336641,actuator,,,PF,172.23.1.99
SR:1:P1:1,IR,1,17,-4311.5572,1002.2549,1649.7274,0,0,0,172.23.1.67,336641,sensor,THRESHOLD 375;,,PF,172.23.1.99
