GROUP,Unit,DEVICE,NUM,UID,X,Y,Z,T_X,T_Y,T_Z,PI IP,NODE ID,DEVICE_TYPE,CONFIG,INSTALLED,NODE_TYPE,CONTROL IP,Actuator Number
TG1,HU1,MO,1,9,-4375.212243,0,-7602.202703,,,,10.14.4.201,362239,actuator,,,HU,10.14.4.198,MO 1
TG1,HU1,MO,2,10,-4601.55873,0,-7732.884038,,,,10.14.4.201,362239,actuator,,,HU,10.14.4.198,MO 2
TG1,HU1,MO,3,22,-4601.558842,0,-7994.246642,,,,10.14.4.201,362239,actuator,,,HU,10.14.4.198,MO 3
TG1,HU1,MO,4,23,-4374.641526,0,-8124.215707,,,,10.14.4.201,362239,actuator,,,HU,10.14.4.198,MO 4
TG1,HU1,MO,5,29,-4148.865532,0,-7994.246577,,,,10.14.4.201,362239,actuator,,,HU,10.14.4.198,MO 5
TG1,HU1,MO,6,30,-4148.865644,0,-7732.884102,,,,10.14.4.201,362239,actuator,,,HU,10.14.4.198,MO 6
TG1,HU1,DR,1,3,-4224.314473,0,-7602.202768,,,,10.14.4.201,356621,actuator,4,,HU,10.14.4.198,DR1
TG1,HU1,MO,3,20,-4299.763414,0,-7732.884038,,,,10.14.4.201,356621,actuator,,,HU,10.14.4.198,MO 7
TG1,HU1,DR,1,25,-4224.314473,0,-8124.927847,,,,10.14.4.201,356621,actuator,32,,HU,10.14.4.198,DR2
TG1,HU1,MO,3,21,-4299.763302,0,-7994.246512,,,,10.14.4.201,356621,actuator,,,HU,10.14.4.198,MO 8
TG1,HU1,DR,1,9,-4677.007671,0,-7863.565308,,,,10.14.4.201,356621,actuator,10,,HU,10.14.4.198,DR 3
TG1,HU1,MO,3,23,-4526.109901,0,-7863.565372,,,,10.14.4.201,356621,actuator,,,HU,10.14.4.198,MO 9
TG1,HU2,MO,1,9,-4148.865644,0,-8255.609181,,,,10.14.4.201,362336,actuator,,,HU,10.14.4.198,MO 10
TG1,HU2,MO,3,22,-4600.988237,0,-8254.896912,,,,10.14.4.201,362336,actuator,,,HU,10.14.4.198,MO 11
TG1,HU2,MO,4,23,-4600.417632,0,-8515.547182,,,,10.14.4.201,362336,actuator,,,HU,10.14.4.198,MO 12
TG1,HU2,MO,5,29,-4374.641526,0,-8646.940786,,,,10.14.4.201,362336,actuator,,,HU,10.14.4.198,MO 13
TG1,HU2,DR,1,3,-4072.846098,0,-8385.578181,,,,10.14.4.201,356572,actuator,4,,HU,10.14.4.198,DR 4
TG1,HU2,MO,3,20,-4223.743868,0,-8385.578117,,,,10.14.4.201,356572,actuator,,,HU,10.14.4.198,MO 14
TG1,HU2,DR,1,25,-4525.539295,0,-8646.940721,,,,10.14.4.201,356572,actuator,32,,HU,10.14.4.198,DR 5
TG1,HU2,MO,3,21,-4450.090354,0,-8516.259451,,,,10.14.4.201,356572,actuator,,,HU,10.14.4.198,MO 15
TG1,HU2,DR,1,9,-4525.449645,0,-8124.164455,,,,10.14.4.201,356572,actuator,10,,HU,10.14.4.198,DR 6
TG1,HU2,MO,3,23,-4450.090467,0,-8254.896977,,,,10.14.4.201,356572,actuator,,,HU,10.14.4.198,MO 16
TG1,HU3,MO,1,9,-3696.570609,0,-8777.661282,,,,10.14.4.201,362230,actuator,,,HU,10.14.4.198,MO 17
TG1,HU3,MO,2,10,-3696.570721,0,-8516.298808,,,,10.14.4.201,362230,actuator,,,HU,10.14.4.198,MO 18
TG1,HU3,MO,3,22,-3921.948328,0,-8385.578246,,,,10.14.4.201,362230,actuator,,,HU,10.14.4.198,MO 19
