Actuator ID,x,y,z
'LC1,-10.78260207,3.39752057,-217.6727014
'LC2,-10.83087181,3.281774339,-217.65508
'HC1,-10.88838651,3.253092838,-217.5459603
'HC2,-10.89763147,3.340157569,-217.4544621
'NC1,-10.84936172,3.455903801,-217.4720835
'NC2,-10.79184703,3.484585301,-217.5812031
'RPi,-10.78722455,3.441052936,-217.6269523
'PSB,-10.85962916,3.267433588,-217.6005202
'HU1,-10.84011677,3.36883907,-217.5635817
'LC1,-10.70381308,3.223882752,-217.9940426
'LC2,-10.64628414,3.252491709,-218.1031738
'NC1,-10.71302053,3.310990939,-217.9025819
'NC2,-10.66469903,3.426708084,-217.9202524
'HC1,-10.60717009,3.455317041,-218.0293836
'HC2,-10.61073514,3.37395517,-218.1220967
'PSB,-10.63593456,3.441012562,-217.974818
'HU2,-10.65549159,3.339599896,-218.0117131
'NC1,-10.67751233,3.724663692,-217.6503436
'NC2,-10.62940618,3.840567152,-217.6673688
'HC1,-10.57175237,3.869827876,-217.7762611
'HC2,-10.56220471,3.783185141,-217.8681281
'LC1,-10.66796467,3.638020956,-217.7422106
'LC2,-10.61031086,3.667281681,-217.8511029
'PSB,-10.60057927,3.855197514,-217.721815
'SD,-10.63913776,3.652651318,-217.7966568
'HU3,-10.61985852,3.753924416,-217.7592359
'OS,-11.17962203,4.177132514,-217.8336378
'LS,-11.12580248,4.184098532,-217.8010134
'LC2,-11.12580248,4.177132514,-217.7380778
'DA,-11.12580248,4.170166496,-217.6751422
'AMP2,-11.23344157,4.170166496,-217.8662621
'AMP1,-11.34108067,4.142302424,-217.8056396
'WV,-11.34108067,4.128370388,-217.6797684
'GE,-11.23344157,4.142302424,-217.6145196
'PG,-11.23344157,4.15623446,-217.7403909
'TG2,-10.92128899,2.962438736,-217.8520276
'LC1,-10.79560223,4.075778827,-219.1245049
'LC2,-10.72633231,3.981807956,-219.0754251
'HC1,-10.6475041,4.004921602,-218.9790428
'HC2,-10.63794582,4.12200612,-218.9317403
'NC1,-10.70721574,4.215976991,-218.9808201
'NC2,-10.78604394,4.192863344,-219.0772024
'RPi,-10.79082308,4.134321085,-219.1008537
'PSB,-10.6869182,3.993364779,-219.027234
'HU1,-10.71677402,4.098892473,-219.0281226
'LC1,-10.93886153,3.881230261,-219.3471591
'LC2,-11.02340771,3.886168874,-219.4413144
'NC1,-10.91028207,3.986089459,-219.2821557
'NC2,-10.96624879,4.095887272,-219.3113077
'HC1,-11.05079497,4.100825886,-219.405463
'HC2,-11.08723865,3.995688698,-219.4588129
