Actuator ID,x,y,z
'M-04A-f,-18.41051816,4.679335947,-218.5534355
'M-04A-e,-18.26584435,4.683150899,-218.5214071
'M-04D-f,-18.22116928,4.717476749,-218.3843043
'M-04D-e,-18.32116955,4.747966397,-218.2792272
'M-04C-f,-18.46584838,4.744093034,-218.3112367
'M-04C-e,-18.51052424,4.709786661,-218.4483492
'RS-04A,-18.17434336,4.617584029,-218.6090545
'RS-04D,-18.28091944,4.742417647,-218.1424637
'RS-04C,-18.64572684,4.668825216,-218.4682681
'M-06A-f,-17.70234853,4.057746109,-218.6712356
'M-06A-e,-17.75416734,4.196318828,-218.680362
'M-06B-f,-17.85939309,4.229738397,-218.7792672
'M-06B-e,-17.91275789,4.124588859,-218.869092
'M-06A'-f,-17.86090746,3.986023863,-218.8599896
'M-06A'-e,-17.75572661,3.95259525,-218.7610432
'RS-06A',-17.73488639,3.815741543,-218.7265432
'RS-06A,-17.73190085,4.285281367,-218.5710689
'RS-06B,-18.03746429,4.147089948,-218.9346386
'M-05A-f,-18.1670338,4.300850589,-218.9217262
'RS-05A',-18.36745039,4.176886681,-219.0062957
'M-05A'-e,-18.31172895,4.297232294,-218.9536919
'M-05A'-f,-18.40295441,4.398787853,-218.8959401
'M-05B-e,-18.34948017,4.503990794,-218.8062509
'RS-05B,-18.44016132,4.575246308,-218.7222683
'M-05B-f,-18.20477813,4.507648671,-218.7743319
'M-05A-e,-18.11355447,4.406069461,-218.8320509
'RS-05A,-17.9856595,4.386535989,-218.7719205
'TG1,-17.24146023,3.627671978,-219.1227092
'PG,-17.83447083,4.571919051,-218.5825366
'GE,-17.83447083,4.557987016,-218.4566654
'WV,-17.94210993,4.54405498,-218.5219141
'AMP1,-17.94210993,4.557987016,-218.6477854
'AMP2,-17.83447083,4.585851087,-218.7084079
'DA,-17.72683174,4.585851087,-218.5172879
'LC2,-17.72683174,4.592817105,-218.5802236
'LS,-17.72683174,4.599783123,-218.6431592
'OS,-17.78065129,4.592817105,-218.6757835
'HU3,-17.4696602,4.451088402,-219.2186346
'SD,-17.45637459,4.34378538,-219.2370142
'PSB,-17.48294582,4.558391424,-219.2002551
'LC2,-17.49869106,4.346599773,-219.2840335
'LC1,-17.41405812,4.340970987,-219.1899949
'HC2,-17.55429315,4.456717187,-219.3126732
'HC1,-17.52526229,4.561205816,-219.2472744
'NC2,-17.44062934,4.555577031,-219.1532358
'NC1,-17.38502726,4.445459616,-219.1245961
'HU2,-17.48238466,3.991028073,-219.376311
'PSB,-17.49607829,4.098356579,-219.3583854
'HC2,-17.57479506,3.995688698,-219.4588129
'HC1,-17.53835138,4.100825886,-219.405463
'NC2,-17.4538052,4.095887272,-219.3113077
'NC1,-17.39783848,3.986089459,-219.2821557
'LC2,-17.51096412,3.886168874,-219.4413144
'LC1,-17.42641794,3.881230261,-219.3471591
'HU1,-17.20433043,4.098892473,-219.0281226
'PSB,-17.17447461,3.993364779,-219.027234
'RPi,-17.27837949,4.134321085,-219.1008537
'NC2,-17.27360035,4.192863344,-219.0772024
'NC1,-17.19477215,4.215976991,-218.9808201
'HC2,-17.12550223,4.12200612,-218.9317403
'HC1,-17.13506051,4.004921602,-218.9790428
'LC2,-17.21388872,3.981807956,-219.0754251
'LC1,-17.28315864,4.075778827,-219.1245049
