peripheral,num,Pi IP,Node ID,Teensy Type,pin,x,y,z,installed,type,Local Actuator Index,Local Sensor Index,Section
MOTH,1,172.23.0.61,356411,HU,5,-1048.421889,662.3099819,-897.1833351,yes,actuator,1,0,SP
MOTH,2,172.23.0.61,356411,HU,20,-970.2567147,662.250969,-771.2352792,yes,actuator,2,0,SP
MOTH,3,172.23.0.61,356411,HU,6,-830.2771148,662.2737817,-1032.564363,yes,actuator,3,0,SP
MOTH,4,172.23.0.61,356411,HU,21,-978.4277078,662.3414487,-1027.844697,yes,actuator,4,0,SP
MOTH,5,172.23.0.61,356411,HU,22,-822.1038744,662.2446897,-775.959085,yes,actuator,5,0,SP
MOTH,6,172.23.0.61,356411,HU,23,-752.1144158,662.2360325,-906.6203004,yes,actuator,6,0,SP
MOTH,1,172.23.0.61,362371,HU,5,-1016.17275,394.2471354,-1540.80408,yes,actuator,1,0,SP
MOTH,2,172.23.0.61,362371,HU,20,-1080.467273,475.4882942,-1434.799523,no,actuator,2,0,SP
MOTH,3,172.23.0.61,362371,HU,6,-785.0293614,470.1405637,-1458.779157,yes,actuator,3,0,SP
MOTH,4,172.23.0.61,362371,HU,21,-868.453811,391.5459355,-1552.778925,yes,actuator,4,0,SP
MOTH,5,172.23.0.61,362371,HU,22,-997.0446988,554.0637936,-1340.789518,yes,actuator,5,0,SP
MOTH,6,172.23.0.61,362371,HU,23,-849.3300387,551.4132025,-1352.799164,no,actuator,6,0,SP
MOTH,1,172.23.0.61,356623,HU,5,-290.8231764,-28.58887028,-1468.697472,yes,actuator,1,0,SP
MOTH,2,172.23.0.61,356623,HU,20,-400.0401312,24.60708923,-1553.625232,yes,actuator,2,0,SP
MOTH,3,172.23.0.61,356623,HU,6,-279.2538535,195.1985576,-1343.395818,yes,actuator,3,0,SP
MOTH,4,172.23.0.61,356623,HU,21,-230.4477485,56.69220035,-1363.561726,yes,actuator,4,0,SP
MOTH,5,172.23.0.61,356623,HU,22,-448.8590317,163.1019557,-1533.445964,yes,actuator,5,0,SP
MOTH,6,172.23.0.61,356623,HU,23,-388.4456611,248.4051968,-1428.35334,yes,actuator,6,0,SP
RS,1,172.23.0.61,356411,HU,3,-1391.355125,395.1127748,-509.8328747,yes,actuator,1,0,SP
RS,2,172.23.0.61,356411,HU,4,-1267.603933,476.0334873,-499.4233352,yes,actuator,2,0,SP
RS,3,172.23.0.61,356411,HU,25,-1424.01911,476.1152657,-751.2595246,yes,actuator,3,0,SP
RS,4,172.23.0.61,356411,HU,32,-1469.549416,395.1264656,-635.7583724,yes,actuator,4,0,SP
RS,5,172.23.0.61,356411,HU,9,-1222.063683,557.0032163,-614.9279003,yes,actuator,5,0,SP
RS,6,172.23.0.61,356411,HU,10,-1300.286919,557.0671197,-740.8326234,yes,actuator,6,0,SP
RS,1,172.23.0.61,432792,HU,3,-1715.414408,32.48195428,-988.0346361,yes,actuator,1,0,SP
RS,2,172.23.0.61,432792,HU,4,-1703.411061,86.02117952,-850.3380543,yes,actuator,2,0,SP
RS,3,172.23.0.61,432792,HU,25,-1612.191533,248.3977243,-1080.989384,yes,actuator,3,0,SP
RS,4,172.23.0.61,432792,HU,32,-1669.778326,113.6535361,-1103.360699,yes,actuator,4,0,SP
RS,5,172.23.0.61,432792,HU,9,-1645.806704,220.7525288,-827.9658077,yes,actuator,5,0,SP
RS,6,172.23.0.61,432792,HU,10,-1600.226233,301.9505295,-943.2922288,yes,actuator,6,0,SP
RS,1,172.23.0.61,258581,HU,3,-1363.180334,58.24001542,-1571.917723,yes,actuator,1,0,SP
RS,2,172.23.0.61,258581,HU,4,-1478.940783,12.97862945,-1491.16004,yes,actuator,2,0,SP
RS,3,172.23.0.61,258581,HU,25,-1363.137296,282.1718748,-1446.34865,yes,actuator,3,0,SP
RS,4,172.23.0.61,258581,HU,32,-1305.284654,192.8420413,-1549.519044,yes,actuator,4,0,SP
RS,5,172.23.0.61,258581,HU,9,-1536.77204,102.2916955,-1387.95975,yes,actuator,5,0,SP
RS,6,172.23.0.61,258581,HU,10,-1478.861239,236.8898693,-1365.545881,yes,actuator,6,0,SP
MOTH,1,172.23.0.62,356614,HU,5,-302.809045,354.5601419,-614.3152563,yes,actuator,1,0,SP
MOTH,2,172.23.0.62,356614,HU,20,-338.576764,438.2392927,-731.3167435,yes,actuator,2,0,SP
MOTH,3,172.23.0.62,356614,HU,6,-456.6193284,527.6800717,-725.1622375,yes,actuator,3,0,SP
MOTH,4,172.23.0.62,356614,HU,21,-538.8741194,533.4689252,-601.9820879,yes,actuator,4,0,SP
MOTH,5,172.23.0.62,356614,HU,22,-503.0672132,449.8321972,-484.9592625,yes,actuator,5,0,SP
MOTH,6,172.23.0.62,356614,HU,23,-385.0489523,360.364491,-491.1315597,yes,actuator,6,0,SP
MOTH,1,172.23.0.62,362141,HU,5,-105.6338091,58.43662192,-1074.034106,yes,actuator,1,0,SP
MOTH,2,172.23.0.62,362141,HU,20,-154.5840729,196.8675382,-1053.745421,no,actuator,2,0,SP
MOTH,3,172.23.0.62,362141,HU,6,-83.01584032,29.19434268,-819.9701701,yes,actuator,3,0,SP
MOTH,4,172.23.0.62,362141,HU,21,-69.87742163,-25.41398525,-957.1489703,yes,actuator,4,0,SP
MOTH,5,172.23.0.62,362141,HU,22,-167.7420567,251.4669303,-916.5700234,yes,actuator,5,0,SP
MOTH,6,172.23.0.62,362141,HU,23,-131.9295333,167.6415217,-799.6869962,no,actuator,6,0,SP
MOTH,1,172.23.0.62,362144,HU,5,-157.9780372,-544.8863233,-760.5244314,yes,actuator,1,0,SP
MOTH,2,172.23.0.62,362144,HU,20,-107.9361164,-458.5671715,-870.1405261,yes,actuator,2,0,SP
MOTH,3,172.23.0.62,362144,HU,6,-134.5871706,-349.3189031,-595.8449759,yes,actuator,3,0,SP
MOTH,4,172.23.0.62,362144,HU,21,-171.2937369,-490.2646617,-623.3731202,yes,actuator,4,0,SP
MOTH,5,172.23.0.62,362144,HU,22,-71.26555405,-317.6072786,-842.6240522,yes,actuator,5,0,SP
MOTH,6,172.23.0.62,362144,HU,23,-84.60159819,-262.9778504,-705.4727261,yes,actuator,6,0,SP
RS,1,172.23.0.63,356614,HU,3,-1391.355125,395.1127748,-509.8328747,yes,actuator,1,0,SP
RS,2,172.23.0.63,356614,HU,4,-1267.603933,476.0334873,-499.4233352,yes,actuator,2,0,SP
RS,3,172.23.0.63,356614,HU,25,-1424.01911,476.1152657,-751.2595246,yes,actuator,3,0,SP
RS,4,172.23.0.63,356614,HU,32,-1469.549416,395.1264656,-635.7583724,yes,actuator,4,0,SP
RS,5,172.23.0.63,356614,HU,9,-1222.063683,557.0032163,-614.9279003,yes,actuator,5,0,SP
RS,6,172.23.0.63,356614,HU,10,-1300.286919,557.0671197,-740.8326234,yes,actuator,6,0,SP
RS,1,172.23.0.63,432792,HU,3,-1715.414408,32.48195428,-988.0346361,yes,actuator,1,0,SP
RS,2,172.23.0.63,432792,HU,4,-1703.411061,86.02117952,-850.3380543,yes,actuator,2,0,SP
RS,3,172.23.0.63,432792,HU,25,-1612.191533,248.3977243,-1080.989384,yes,actuator,3,0,SP
RS,4,172.23.0.63,432792,HU,32,-1669.778326,113.6535361,-1103.360699,yes,actuator,4,0,SP
RS,5,172.23.0.63,432792,HU,9,-1645.806704,220.7525288,-827.9658077,yes,actuator,5,0,SP
RS,6,172.23.0.63,432792,HU,10,-1600.226233,301.9505295,-943.2922288,yes,actuator,6,0,SP
RS,1,172.23.0.63,258581,HU,3,-1363.180334,58.24001542,-1571.917723,yes,actuator,1,0,SP
RS,2,172.23.0.63,258581,HU,4,-1478.940783,12.97862945,-1491.16004,yes,actuator,2,0,SP
RS,3,172.23.0.63,258581,HU,25,-1363.137296,282.1718748,-1446.34865,yes,actuator,3,0,SP
RS,4,172.23.0.63,258581,HU,32,-1305.284654,192.8420413,-1549.519044,yes,actuator,4,0,SP
RS,5,172.23.0.63,258581,HU,9,-1536.77204,102.2916955,-1387.95975,yes,actuator,5,0,SP
RS,6,172.23.0.63,258581,HU,10,-1478.861239,236.8898693,-1365.545881,yes,actuator,6,0,SP
MOTH,1,172.23.0.63,435162,HU,5,-499.7272973,192.3368237,-252.2861951,no,actuator,1,0,SP
MOTH,2,172.23.0.63,435162,HU,20,-617.7726472,281.7747001,-246.2002071,no,actuator,2,0,SP
MOTH,3,172.23.0.63,435162,HU,6,-629.4375877,12.33984724,-123.0906233,yes,actuator,3,0,SP
MOTH,4,172.23.0.63,435162,HU,21,-505.5648997,57.60747957,-190.7597401,yes,actuator,4,0,SP
MOTH,5,172.23.0.63,435162,HU,22,-741.6484743,236.5004251,-178.55159,yes,actuator,5,0,SP
MOTH,6,172.23.0.63,435162,HU,23,-747.4694127,101.7972566,-116.971958,yes,actuator,6,0,SP
MOTH,1,172.23.0.63,258581,HU,5,-377.8437633,-476.2468802,-314.1994761,yes,actuator,1,0,SP
MOTH,2,172.23.0.63,258581,HU,20,-332.5295908,-335.8681844,-299.6624353,yes,actuator,2,0,SP
MOTH,3,172.23.0.63,258581,HU,6,-580.2613762,-426.4238428,-164.3400537,yes,actuator,3,0,SP
MOTH,4,172.23.0.63,258581,HU,21,-501.705216,-521.5278781,-246.5290418,yes,actuator,4,0,SP
MOTH,5,172.23.0.63,258581,HU,22,-411.1057311,-240.7494285,-217.5053277,yes,actuator,5,0,SP
MOTH,6,172.23.0.63,258581,HU,23,-534.9824642,-286.0264297,-149.8498852,yes,actuator,6,0,SP
MOTH,1,172.23.0.63,362300,HU,5,-1041.449514,-799.6332536,-359.5735661,yes,actuator,1,0,SP
MOTH,2,172.23.0.63,362300,HU,20,-893.908236,-813.8155017,-357.7999262,yes,actuator,2,0,SP
MOTH,3,172.23.0.63,362300,HU,6,-1024.909236,-606.5277375,-191.1935037,yes,actuator,3,0,SP
MOTH,4,172.23.0.63,362300,HU,21,-1106.946341,-696.0013951,-276.2538118,yes,actuator,4,0,SP
MOTH,5,172.23.0.63,362300,HU,22,-811.8776178,-724.3785726,-272.6906326,yes,actuator,5,0,SP
MOTH,6,172.23.0.63,362300,HU,23,-877.3741675,-620.7233987,-189.4038719,yes,actuator,6,0,SP
RS,1,172.23.0.63,435162,HU,3,-1391.355125,395.1127748,-509.8328747,yes,actuator,1,0,SP
RS,2,172.23.0.63,435162,HU,4,-1267.603933,476.0334873,-499.4233352,yes,actuator,2,0,SP
RS,3,172.23.0.63,435162,HU,25,-1424.01911,476.1152657,-751.2595246,yes,actuator,3,0,SP
RS,4,172.23.0.63,435162,HU,32,-1469.549416,395.1264656,-635.7583724,yes,actuator,4,0,SP
RS,5,172.23.0.63,435162,HU,9,-1222.063683,557.0032163,-614.9279003,yes,actuator,5,0,SP
RS,6,172.23.0.63,435162,HU,10,-1300.286919,557.0671197,-740.8326234,yes,actuator,6,0,SP
RS,1,172.23.0.63,432792,HU,3,-1715.414408,32.48195428,-988.0346361,yes,actuator,1,0,SP
RS,2,172.23.0.63,432792,HU,4,-1703.411061,86.02117952,-850.3380543,yes,actuator,2,0,SP
RS,3,172.23.0.63,432792,HU,25,-1612.191533,248.3977243,-1080.989384,yes,actuator,3,0,SP
RS,4,172.23.0.63,432792,HU,32,-1669.778326,113.6535361,-1103.360699,yes,actuator,4,0,SP
RS,5,172.23.0.63,432792,HU,9,-1645.806704,220.7525288,-827.9658077,yes,actuator,5,0,SP
RS,6,172.23.0.63,432792,HU,10,-1600.226233,301.9505295,-943.2922288,yes,actuator,6,0,SP
RS,1,172.23.0.63,258581,HU,3,-1363.180334,58.24001542,-1571.917723,yes,actuator,1,0,SP
RS,2,172.23.0.63,258581,HU,4,-1478.940783,12.97862945,-1491.16004,yes,actuator,2,0,SP
RS,3,172.23.0.63,258581,HU,25,-1363.137296,282.1718748,-1446.34865,yes,actuator,3,0,SP
RS,4,172.23.0.63,258581,HU,32,-1305.284654,192.8420413,-1549.519044,yes,actuator,4,0,SP
RS,5,172.23.0.63,258581,HU,9,-1536.77204,102.2916955,-1387.95975,yes,actuator,5,0,SP
RS,6,172.23.0.63,258581,HU,10,-1478.861239,236.8898693,-1365.545881,yes,actuator,6,0,SP
MOTH,1,172.23.0.64,245688,HU,5,-1061.468216,112.6719431,-122.3840092,yes,actuator,1,0,SP
MOTH,2,172.23.0.64,245688,HU,20,-1055.63052,247.3579414,-183.9995979,yes,actuator,2,0,SP
MOTH,3,172.23.0.64,245688,HU,6,-1303.08786,85.434579,-204.805126,yes,actuator,3,0,SP
MOTH,4,172.23.0.64,245688,HU,21,-1185.18363,31.6943395,-132.8100564,yes,actuator,4,0,SP
MOTH,5,172.23.0.64,245688,HU,22,-1173.523869,301.0878907,-256.0104771,yes,actuator,5,0,SP
MOTH,6,172.23.0.64,245688,HU,23,-1297.259702,220.1393564,-266.3862383,yes,actuator,6,0,SP
MOTH,1,172.23.0.64,336640,HU,5,-1345.87998,-490.0767844,-261.7624353,yes,actuator,1,0,SP
MOTH,2,172.23.0.64,336640,HU,20,-1263.905147,-400.6354421,-176.6081592,yes,actuator,2,0,SP
MOTH,3,172.23.0.64,336640,HU,6,-1499.778744,-293.1402078,-320.467818,yes,actuator,3,0,SP
MOTH,4,172.23.0.64,336640,HU,21,-1463.799392,-436.3275935,-333.718083,yes,actuator,4,0,SP
MOTH,5,172.23.0.64,336640,HU,22,-1299.871054,-257.447965,-163.3750239,yes,actuator,5,0,SP
MOTH,6,172.23.0.64,336640,HU,23,-1417.823379,-203.7093198,-235.2797188,yes,actuator,6,0,SP
MOTH,1,172.23.0.64,335578,HU,5,-1693.372876,-449.016396,-844.016395,yes,actuator,1,0,SP
MOTH,2,172.23.0.64,335578,HU,20,-1644.79467,-524.2876112,-725.9262616,yes,actuator,2,0,SP
MOTH,3,172.23.0.64,335578,HU,6,-1716.664826,-237.8583694,-699.8465658,yes,actuator,3,0,SP
MOTH,4,172.23.0.64,335578,HU,21,-1729.280187,-305.7944642,-830.988666,yes,actuator,4,0,SP
MOTH,5,172.23.0.64,335578,HU,22,-1632.159713,-456.3482229,-594.7930724,yes,actuator,5,0,SP
MOTH,6,172.23.0.64,335578,HU,23,-1668.12321,-313.1444245,-581.747881,yes,actuator,6,0,SP
RS,1,172.23.0.64,245688,HU,3,-1391.355125,395.1127748,-509.8328747,yes,actuator,1,0,SP
RS,2,172.23.0.64,245688,HU,4,-1267.603933,476.0334873,-499.4233352,yes,actuator,2,0,SP
RS,3,172.23.0.64,245688,HU,25,-1424.01911,476.1152657,-751.2595246,yes,actuator,3,0,SP
RS,4,172.23.0.64,245688,HU,32,-1469.549416,395.1264656,-635.7583724,yes,actuator,4,0,SP
RS,5,172.23.0.64,245688,HU,9,-1222.063683,557.0032163,-614.9279003,yes,actuator,5,0,SP
