GROUP,DEVICE,NUM,UID,X,Y,Z,T_X,T_Y,T_Z,PI IP,NODE ID,DEVICE_TYPE,CONFIG,INSTALLED,NODE_TYPE,CONTROL IP
TG:2:HU:3,DR,3,29,-433.4520583,-201.327126,626.3120729,218302.2279,11893.1642,3914.298384,172.23.0.82,393050,actuator,,,HU,172.23.0.99
TG:2:HU:3,MO,5,26,-341.3132583,-310.255506,625.9104029,218302.2279,11893.1642,3914.298384,172.23.0.82,393050,actuator,,,HU,172.23.0.99
TG:2:HU:3,MO,6,31,-363.9861583,-422.510606,531.8061479,218302.2279,11893.1642,3914.298384,172.23.0.82,393050,actuator,,,HU,172.23.0.99
TG:2:HU:3,MO,4,21,-207.9434583,-291.122456,687.7003179,218302.2279,11893.1642,3914.298384,172.23.0.82,393050,actuator,,,HU,172.23.0.99
TG:2:HU:3,DR,2,22,36.74334172,-343.924946,683.1540879,218302.2279,11893.1642,3914.298384,172.23.0.82,393050,actuator,,,HU,172.23.0.99
TG:2:HU:3,MO,3,6,-97.25815828,-384.288856,655.4282249,218302.2279,11893.1642,3914.298384,172.23.0.82,393050,actuator,,,HU,172.23.0.99
TG:2:HU:3,MO,1,25,-253.2985583,-515.661586,499.5188329,218302.2279,11893.1642,3914.298384,172.23.0.82,393050,actuator,,,HU,172.23.0.99
TG:2:HU:3,MO,2,32,-119.9460583,-496.568066,561.3526609,218302.2279,11893.1642,3914.298384,172.23.0.82,393050,actuator,,,HU,172.23.0.99
TG:2:HU:3,DR,1,9,-263.8837583,-597.078876,382.8454569,218302.2279,11893.1642,3914.298384,172.23.0.82,393050,actuator,,,HU,172.23.0.99
TG:2:HU:3,AMP1,--,--,-469.7238583,-556.798106,168.2261999,218302.2279,11893.1642,3914.298384,172.23.0.82,393050,actuator,,,HU,172.23.0.99
TG:2:HU:3,AMP2,--,--,-409.1013583,-664.437206,196.0902719,218302.2279,11893.1642,3914.298384,172.23.0.82,393050,actuator,,,HU,172.23.0.99
TG:2:HU:3,OS,--,--,-441.7256583,-718.256746,203.0562899,218302.2279,11893.1642,3914.298384,172.23.0.82,393050,actuator,,,HU,172.23.0.99
TG:2:HU:3,LS,--,--,-474.3500583,-772.076296,210.0223079,218302.2279,11893.1642,3914.298384,172.23.0.82,393050,actuator,,,HU,172.23.0.99
TG:2:HU:3,LC2,--,--,-537.2856583,-772.076296,203.0562899,218302.2279,11893.1642,3914.298384,172.23.0.82,393050,actuator,,,HU,172.23.0.99
TG:2:HU:3,DA,--,--,-600.2212583,-772.076296,196.0902719,218302.2279,11893.1642,3914.298384,172.23.0.82,393050,actuator,,,HU,172.23.0.99
TG:2:HU:3,WT,1,3,-595.5950583,-556.798106,154.2941639,218302.2279,11893.1642,3914.298384,172.23.0.82,393050,actuator,TXPIN 4;,,HU,172.23.0.99
TG:2:GN:3,GE,1,18,-660.8438583,-664.437206,168.2261999,218302.2279,11893.1642,3914.298384,172.23.0.82,393148,sensor,,,GN,172.23.0.99
TG:2:HU:3,NC1,--,--,-625.0198583,-1220.366446,-249.4125321,218302.2279,11893.1642,3914.298384,172.23.0.82,393050,actuator,,,HU,172.23.0.99
TG:2:HU:3,NC2,--,--,-607.9946583,-1268.472596,-133.5090721,218302.2279,11893.1642,3914.298384,172.23.0.82,393050,actuator,,,HU,172.23.0.99
TG:2:HU:3,PSB,--,--,-553.5484583,-1297.299506,-118.8787101,218302.2279,11893.1642,3914.298384,172.23.0.82,393050,actuator,,,HU,172.23.0.99
TG:2:HU:3,HC1,--,--,-499.1023583,-1326.126406,-104.2483481,218302.2279,11893.1642,3914.298384,172.23.0.82,393050,actuator,,,HU,172.23.0.99
TG:2:HU:3,HC2,--,--,-407.2353583,-1335.674066,-190.8910831,218302.2279,11893.1642,3914.298384,172.23.0.82,393050,actuator,,,HU,172.23.0.99
TG:2:HU:3,LC2,--,--,-424.2605583,-1287.567916,-306.7945431,218302.2279,11893.1642,3914.298384,172.23.0.82,393050,actuator,,,HU,172.23.0.99
TG:2:HU:3,LC1,--,--,-533.1528583,-1229.914106,-336.0552681,218302.2279,11893.1642,3914.298384,172.23.0.82,393050,actuator,,,HU,172.23.0.99
TG:2:HU:2,SD,1,16,-478.7066583,-1258.741016,-321.4249061,218302.2279,11893.1642,3914.298384,172.23.0.82,393151,sensor,ENVELOPEPIN 17;,,HU,172.23.0.99
TG:2:HU:2,DR,3,29,18.69374172,-596.537436,456.4573619,218302.2279,11893.1642,3914.298384,172.23.0.82,393151,actuator,,,HU,172.23.0.99
TG:2:HU:2,MO,1,25,-134.4799583,-733.439866,132.2033829,218302.2279,11893.1642,3914.298384,172.23.0.82,393151,actuator,,,HU,172.23.0.99
TG:2:HU:2,MO,6,31,-124.0297583,-691.537436,274.0009769,218302.2279,11893.1642,3914.298384,172.23.0.82,393151,actuator,,,HU,172.23.0.99
TG:2:HU:2,MO,5,26,9.238241724,-672.397176,336.0024239,218302.2279,11893.1642,3914.298384,172.23.0.82,393151,actuator,,,HU,172.23.0.99
TG:2:HU:2,MO,4,21,132.0630417,-695.218056,256.2240459,218302.2279,11893.1642,3914.298384,172.23.0.82,393151,actuator,,,HU,172.23.0.99
TG:2:HU:2,DR,2,22,235.2123417,-721.264646,29.59480788,218302.2279,11893.1642,3914.298384,172.23.0.82,393151,actuator,,,HU,172.23.0.99
TG:2:HU:2,MO,3,6,121.6173417,-737.158356,114.4397889,218302.2279,11893.1642,3914.298384,172.23.0.82,393151,actuator,,,HU,172.23.0.99
TG:2:HU:2,MO,2,32,-11.65135828,-756.241086,52.41645188,218302.2279,11893.1642,3914.298384,172.23.0.82,393151,actuator,,,HU,172.23.0.99
TG:2:HU:2,DR,1,9,-258.1710583,-714.064356,63.79701288,218302.2279,11893.1642,3914.298384,172.23.0.82,393151,actuator,,,HU,172.23.0.99
TG:2:HU:2,NC1,--,--,-372.7815583,-1184.858246,-663.0852851,218302.2279,11893.1642,3914.298384,172.23.0.82,393151,actuator,,,HU,172.23.0.99
TG:2:HU:2,NC2,--,--,-355.1110583,-1233.179746,-547.3681401,218302.2279,11893.1642,3914.298384,172.23.0.82,393151,actuator,,,HU,172.23.0.99
TG:2:HU:2,PSB,--,--,-300.5454583,-1261.944216,-533.0636621,218302.2279,11893.1642,3914.298384,172.23.0.82,393151,actuator,,,HU,172.23.0.99
TG:2:HU:2,HC1,--,--,-245.9798583,-1290.708686,-518.7591831,218302.2279,11893.1642,3914.298384,172.23.0.82,393151,actuator,,,HU,172.23.0.99
TG:2:HU:2,HC2,--,--,-153.2667583,-1287.143636,-600.1210541,218302.2279,11893.1642,3914.298384,172.23.0.82,393151,actuator,,,HU,172.23.0.99
TG:2:HU:2,LC2,--,--,-172.1896583,-1251.594636,-721.5845151,218302.2279,11893.1642,3914.298384,172.23.0.82,393151,actuator,,,HU,172.23.0.99
TG:2:HU:2,LC1,--,--,-281.3208583,-1194.065696,-750.1934721,218302.2279,11893.1642,3914.298384,172.23.0.82,393151,actuator,,,HU,172.23.0.99
TG:2:HU:1,DR,2,22,-54.03275828,-751.866136,-144.5149931,218302.2279,11893.1642,3914.298384,172.23.0.82,393150,actuator,,,HU,172.23.0.99
TG:2:HU:1,DR,3,29,-517.0588583,-581.305766,-110.3856441,218302.2279,11893.1642,3914.298384,172.23.0.82,393150,actuator,,,HU,172.23.0.99
TG:2:HU:1,MO,6,31,-411.5646583,-594.488566,-337.0488161,218302.2279,11893.1642,3914.298384,172.23.0.82,393150,actuator,,,HU,172.23.0.99
TG:2:HU:1,MO,5,26,-416.8005583,-637.105376,-195.1782061,218302.2279,11893.1642,3914.298384,172.23.0.82,393150,actuator,,,HU,172.23.0.99
TG:2:HU:1,MO,4,21,-299.2444583,-702.661096,-133.0928211,218302.2279,11893.1642,3914.298384,172.23.0.82,393150,actuator,,,HU,172.23.0.99
TG:2:HU:1,MO,3,6,-176.4674583,-725.654686,-212.9039451,218302.2279,11893.1642,3914.298384,172.23.0.82,393150,actuator,,,HU,172.23.0.99
TG:2:HU:1,MO,2,32,-171.2493583,-683.071636,-354.7878171,218302.2279,11893.1642,3914.298384,172.23.0.82,393150,actuator,,,HU,172.23.0.99
TG:2:HU:1,MO,1,25,-288.7841583,-617.462426,-416.8514271,218302.2279,11893.1642,3914.298384,172.23.0.82,393150,actuator,,,HU,172.23.0.99
TG:2:HU:1,DR,1,9,-270.4288583,-543.503826,-537.4611681,218302.2279,11893.1642,3914.298384,172.23.0.82,393150,actuator,,,HU,172.23.0.99
TG:2:HU:1,HC2,--,--,-820.9013583,-1000.247306,-633.9186551,218302.2279,11893.1642,3914.298384,172.23.0.82,393150,actuator,,,HU,172.23.0.99
TG:2:HU:1,NC1,--,--,-803.2799583,-1048.517056,-518.1724231,218302.2279,11893.1642,3914.298384,172.23.0.82,393150,actuator,,,HU,172.23.0.99
TG:2:HU:1,NC2,--,--,-694.1603583,-1106.031746,-489.4909231,218302.2279,11893.1642,3914.298384,172.23.0.82,393150,actuator,,,HU,172.23.0.99
TG:2:HU:1,RPi,--,--,-648.4111583,-1110.654226,-533.0232881,218302.2279,11893.1642,3914.298384,172.23.0.82,393150,actuator,,,HU,172.23.0.99
TG:2:HU:1,LC1,--,--,-602.6620583,-1115.276706,-576.5556541,218302.2279,11893.1642,3914.298384,172.23.0.82,393150,actuator,,,HU,172.23.0.99
TG:2:HU:1,LC2,--,--,-620.2834583,-1067.006966,-692.3018851,218302.2279,11893.1642,3914.298384,172.23.0.82,393150,actuator,,,HU,172.23.0.99
TG:2:HU:1,PSB,--,--,-674.8432583,-1038.249616,-706.6426361,218302.2279,11893.1642,3914.298384,172.23.0.82,393150,actuator,,,HU,172.23.0.99
TG:2:HU:1,HC1,--,--,-729.4031583,-1009.492266,-720.9833861,218302.2279,11893.1642,3914.298384,172.23.0.82,393150,actuator,,,HU,172.23.0.99
TG:1:HU:2,DR,3,29,446.9048417,54.72613397,601.1700839,218302.2279,11893.1642,3914.298384,172.23.0.81,379766,actuator,,,HU,172.23.0.99
TG:3:HU:3,NC1,--,--,-1185.529258,245.365994,-696.8669411,218302.2279,11893.1642,3914.298384,172.23.0.83,393055,actuator,,,HU,172.23.0.99
TG:3:HU:3,NC2,--,--,-1259.714258,172.507284,-624.5767491,218302.2279,11893.1642,3914.298384,172.23.0.83,393055,actuator,,,HU,172.23.0.99
TG:3:HU:3,PSB,--,--,-1264.014758,110.398004,-636.1249541,218302.2279,11893.1642,3914.298384,172.23.0.83,393055,actuator,,,HU,172.23.0.99
TG:3:HU:3,HC1,--,--,-1268.315358,48.28873397,-647.6731581,218302.2279,11893.1642,3914.298384,172.23.0.83,393055,actuator,,,HU,172.23.0.99
TG:3:HU:3,HC2,--,--,-1202.731558,-3.071096034,-743.0597601,218302.2279,11893.1642,3914.298384,172.23.0.83,393055,actuator,,,HU,172.23.0.99
TG:3:HU:3,LC2,--,--,-1128.546658,69.78761397,-815.3499511,218302.2279,11893.1642,3914.298384,172.23.0.83,393055,actuator,,,HU,172.23.0.99
TG:3:HU:2,SD,1,16,-1124.246058,131.896894,-803.8017471,218302.2279,11893.1642,3914.298384,172.23.0.83,393052,sensor,ENVELOPEPIN 17;,,HU,172.23.0.99
TG:3:HU:3,LC1,--,--,-1119.945458,194.006164,-792.2535421,218302.2279,11893.1642,3914.298384,172.23.0.83,393055,actuator,,,HU,172.23.0.99
TG:3:HU:3,AMP1,--,--,-786.2992583,296.817394,-88.68124012,218302.2279,11893.1642,3914.298384,172.23.0.83,393055,actuator,,,HU,172.23.0.99
TG:3:HU:3,AMP2,--,--,-725.6766583,189.178294,-60.81716812,218302.2279,11893.1642,3914.298384,172.23.0.83,393055,actuator,,,HU,172.23.0.99
TG:3:HU:3,OS,--,--,-758.3010583,135.358754,-53.85115012,218302.2279,11893.1642,3914.298384,172.23.0.83,393055,actuator,,,HU,172.23.0.99
TG:3:HU:3,LS,--,--,-790.9253583,81.53920397,-46.88513212,218302.2279,11893.1642,3914.298384,172.23.0.83,393055,actuator,,,HU,172.23.0.99
TG:3:HU:3,LC2,--,--,-853.8610583,81.53920397,-53.85115012,218302.2279,11893.1642,3914.298384,172.23.0.83,393055,actuator,,,HU,172.23.0.99
TG:3:HU:3,DA,--,--,-916.7966583,81.53920397,-60.81716812,218302.2279,11893.1642,3914.298384,172.23.0.83,393055,actuator,,,HU,172.23.0.99
TG:3:GN:3,GE,1,18,-977.4191583,189.178294,-88.68124012,218302.2279,11893.1642,3914.298384,172.23.0.83,393075,sensor,,,GN,172.23.0.99
TG:3:HU:3,WT,1,3,-912.1704583,296.817394,-102.6132761,218302.2279,11893.1642,3914.298384,172.23.0.83,393055,actuator,TXPIN 4;,,HU,172.23.0.99
TG:3:HU:3,DR,3,29,-594.5308583,83.20335397,512.4147289,218302.2279,11893.1642,3914.298384,172.23.0.83,393055,actuator,,,HU,172.23.0.99
TG:3:HU:3,MO,6,31,-707.9049583,-12.62556603,310.8158039,218302.2279,11893.1642,3914.298384,172.23.0.83,393055,actuator,,,HU,172.23.0.99
TG:3:HU:3,MO,5,26,-641.4438583,-31.63155603,441.9362129,218302.2279,11893.1642,3914.298384,172.23.0.83,393055,actuator,,,HU,172.23.0.99
TG:3:HU:3,MO,4,21,-588.8634583,-164.962956,479.7465529,218302.2279,11893.1642,3914.298384,172.23.0.83,393055,actuator,,,HU,172.23.0.99
TG:3:HU:3,DR,2,22,-520.0442583,-393.947546,405.5147939,218302.2279,11893.1642,3914.298384,172.23.0.83,393055,actuator,,,HU,172.23.0.99
TG:3:HU:3,MO,3,6,-602.8011583,-279.307776,386.4528719,218302.2279,11893.1642,3914.298384,172.23.0.83,393055,actuator,,,HU,172.23.0.99
TG:3:HU:3,MO,2,32,-669.2993583,-260.306776,255.3478419,218302.2279,11893.1642,3914.298384,172.23.0.83,393055,actuator,,,HU,172.23.0.99
TG:3:HU:3,MO,1,25,-721.8235583,-126.961866,217.5162939,218302.2279,11893.1642,3914.298384,172.23.0.83,393055,actuator,,,HU,172.23.0.99
TG:3:HU:3,DR,1,9,-749.4187583,-100.478966,80.07299988,218302.2279,11893.1642,3914.298384,172.23.0.83,393055,actuator,,,HU,172.23.0.99
TG:3:HU:2,DR,3,29,-649.2360583,-374.516636,91.72797788,218302.2279,11893.1642,3914.298384,172.23.0.83,393052,actuator,,,HU,172.23.0.99
TG:3:HU:2,MO,6,31,-722.8664583,-212.556466,-84.43326512,218302.2279,11893.1642,3914.298384,172.23.0.83,393052,actuator,,,HU,172.23.0.99
TG:3:HU:2,MO,5,26,-670.4045583,-345.874366,-46.42054212,218302.2279,11893.1642,3914.298384,172.23.0.83,393052,actuator,,,HU,172.23.0.99
TG:3:HU:2,MO,4,21,-604.1000583,-431.129786,-147.9416731,218302.2279,11893.1642,3914.298384,172.23.0.83,393052,actuator,,,HU,172.23.0.99
TG:3:HU:2,MO,3,6,-590.2399583,-383.056846,-287.4686211,218302.2279,11893.1642,3914.298384,172.23.0.83,393052,actuator,,,HU,172.23.0.99
TG:3:HU:2,MO,1,25,-708.9727583,-164.462756,-223.9522091,218302.2279,11893.1642,3914.298384,172.23.0.83,393052,actuator,,,HU,172.23.0.99
TG:3:HU:2,MO,2,32,-642.6473583,-249.712116,-325.4716781,218302.2279,11893.1642,3914.298384,172.23.0.83,393052,actuator,,,HU,172.23.0.99
TG:3:HU:2,DR,2,22,-494.7530583,-446.147186,-372.6564541,218302.2279,11893.1642,3914.298384,172.23.0.83,393052,actuator,,,HU,172.23.0.99
TG:3:HU:2,DR,1,9,-723.4601583,-24.99639603,-250.2884381,218302.2279,11893.1642,3914.298384,172.23.0.83,393052,actuator,,,HU,172.23.0.99
TG:3:HU:2,NC1,--,--,-890.4478583,188.720964,-1078.610851,218302.2279,11893.1642,3914.298384,172.23.0.83,393052,actuator,,,HU,172.23.0.99
TG:3:HU:2,NC2,--,--,-964.4484583,115.298784,-1006.702774,218302.2279,11893.1642,3914.298384,172.23.0.83,393052,actuator,,,HU,172.23.0.99
TG:3:HU:2,PSB,--,--,-968.5242583,53.22504397,-1018.520396,218302.2279,11893.1642,3914.298384,172.23.0.83,393052,actuator,,,HU,172.23.0.99
TG:3:HU:2,HC1,--,--,-972.6000583,-8.848696034,-1030.338018,218302.2279,11893.1642,3914.298384,172.23.0.83,393052,actuator,,,HU,172.23.0.99
TG:3:HU:2,HC2,--,--,-897.9218583,-58.73762603,-1114.969318,218302.2279,11893.1642,3914.298384,172.23.0.83,393052,actuator,,,HU,172.23.0.99
TG:3:HU:2,LC2,--,--,-832.7504583,13.84816397,-1197.789415,218302.2279,11893.1642,3914.298384,172.23.0.83,393052,actuator,,,HU,172.23.0.99
TG:3:HU:2,LC1,--,--,-824.5988583,137.995654,-1174.154171,218302.2279,11893.1642,3914.298384,172.23.0.83,393052,actuator,,,HU,172.23.0.99
TG:3:HU:1,PSB,--,--,-891.2888583,515.208204,-988.9560871,218302.2279,11893.1642,3914.298384,172.23.0.83,393049,actuator,,,HU,172.23.0.99
TG:3:HU:1,HC1,--,--,-887.2029583,577.288014,-977.1739481,218302.2279,11893.1642,3914.298384,172.23.0.83,393049,actuator,,,HU,172.23.0.99
TG:3:HU:1,HC2,--,--,-953.0223583,628.074084,-881.6425171,218302.2279,11893.1642,3914.298384,172.23.0.83,393049,actuator,,,HU,172.23.0.99
