GROUP,DEVICE,NUM,UID,X,Y,Z,T_X,T_Y,T_Z,PI IP,NODE ID,DEVICE_TYPE,CONFIG,INSTALLED,NODE_TYPE
TG:2:HU:3,DR,3,29,1.8419114,1.69655165,-0.399611703,218.3022279,11.8931642,3.914298384,172.23.0.62,546545,actuator,,,HU
TG:2:HU:3,MO,5,26,1.9340502,1.58762327,-0.400013373,218.3022279,11.8931642,3.914298384,172.23.0.62,546545,actuator,,,HU
TG:2:HU:3,MO,6,31,1.9113773,1.47536817,-0.494117628,218.3022279,11.8931642,3.914298384,172.23.0.62,546545,actuator,,,HU
TG:2:HU:3,MO,4,21,2.06742,1.60675632,-0.338223458,218.3022279,11.8931642,3.914298384,172.23.0.62,546545,actuator,,,HU
TG:2:HU:3,DR,2,22,2.3121068,1.55395383,-0.342769688,218.3022279,11.8931642,3.914298384,172.23.0.62,546545,actuator,,,HU
TG:2:HU:3,MO,3,6,2.1781053,1.51358992,-0.370495551,218.3022279,11.8931642,3.914298384,172.23.0.62,546545,actuator,,,HU
TG:2:HU:3,MO,1,25,2.0220649,1.38221719,-0.526404943,218.3022279,11.8931642,3.914298384,172.23.0.62,546545,actuator,,,HU
TG:2:HU:3,MO,2,32,2.1554174,1.40131071,-0.464571115,218.3022279,11.8931642,3.914298384,172.23.0.62,546545,actuator,,,HU
TG:2:HU:3,DR,1,9,2.0114797,1.3007999,-0.643078319,218.3022279,11.8931642,3.914298384,172.23.0.62,546545,actuator,,,HU
TG:2:HU:3,AMP1,--,--,1.8056396,1.34108067,-0.857697576,218.3022279,11.8931642,3.914298384,172.23.0.62,546545,actuator,,,HU
TG:2:HU:3,AMP2,--,--,1.8662621,1.23344157,-0.829833504,218.3022279,11.8931642,3.914298384,172.23.0.62,546545,actuator,,,HU
TG:2:HU:3,OS,--,--,1.8336378,1.17962203,-0.822867486,218.3022279,11.8931642,3.914298384,172.23.0.62,546545,actuator,,,HU
TG:2:HU:3,LS,--,--,1.8010134,1.12580248,-0.815901468,218.3022279,11.8931642,3.914298384,172.23.0.62,546545,actuator,,,HU
TG:2:HU:3,LC2,--,--,1.7380778,1.12580248,-0.822867486,218.3022279,11.8931642,3.914298384,172.23.0.62,546545,actuator,,,HU
TG:2:HU:3,DA,--,--,1.6751422,1.12580248,-0.829833504,218.3022279,11.8931642,3.914298384,172.23.0.62,546545,actuator,,,HU
TG:2:HU:3,WT,1,3,1.6797684,1.34108067,-0.871629612,218.3022279,11.8931642,3.914298384,172.23.0.62,546545,actuator,,,HU
TG:2:GE:3,GE,1,18,1.6145196,1.23344157,-0.857697576,218.3022279,11.8931642,3.914298384,172.23.0.62,111111,sensor,,,GN
TG:2:HU:3,NC1,--,--,1.6503436,0.67751233,-1.275336308,218.3022279,11.8931642,3.914298384,172.23.0.62,546545,actuator,,,HU
TG:2:HU:3,NC2,--,--,1.6673688,0.62940618,-1.159432848,218.3022279,11.8931642,3.914298384,172.23.0.62,546545,actuator,,,HU
TG:2:HU:3,PSB,--,--,1.721815,0.60057927,-1.144802486,218.3022279,11.8931642,3.914298384,172.23.0.62,546545,actuator,,,HU
TG:2:HU:3,HC1,--,--,1.7762611,0.57175237,-1.130172124,218.3022279,11.8931642,3.914298384,172.23.0.62,546545,actuator,,,HU
TG:2:HU:3,HC2,--,--,1.8681281,0.56220471,-1.216814859,218.3022279,11.8931642,3.914298384,172.23.0.62,546545,actuator,,,HU
TG:2:HU:3,LC2,--,--,1.8511029,0.61031086,-1.332718319,218.3022279,11.8931642,3.914298384,172.23.0.62,546545,actuator,,,HU
TG:2:HU:3,LC1,--,--,1.7422106,0.66796467,-1.361979044,218.3022279,11.8931642,3.914298384,172.23.0.62,546545,actuator,,,HU
TG:2:HU:3,SD,1,16,1.7966568,0.63913776,-1.347348682,218.3022279,11.8931642,3.914298384,172.23.0.62,546545,sensor,,,HU
TG:2:HU:2,DR,3,29,2.2940572,1.30134134,-0.569466414,218.3022279,11.8931642,3.914298384,172.23.0.62,546547,actuator,,,HU
TG:2:HU:2,MO,1,25,2.1408835,1.16443891,-0.893720393,218.3022279,11.8931642,3.914298384,172.23.0.62,546547,actuator,,,HU
TG:2:HU:2,MO,6,31,2.1513337,1.20634134,-0.751922799,218.3022279,11.8931642,3.914298384,172.23.0.62,546547,actuator,,,HU
TG:2:HU:2,MO,5,26,2.2846017,1.2254816,-0.689921352,218.3022279,11.8931642,3.914298384,172.23.0.62,546547,actuator,,,HU
TG:2:HU:2,MO,4,21,2.4074265,1.20266072,-0.76969973,218.3022279,11.8931642,3.914298384,172.23.0.62,546547,actuator,,,HU
TG:2:HU:2,DR,2,22,2.5105758,1.17661413,-0.996328968,218.3022279,11.8931642,3.914298384,172.23.0.62,546547,actuator,,,HU
TG:2:HU:2,MO,3,6,2.3969808,1.16072042,-0.911483987,218.3022279,11.8931642,3.914298384,172.23.0.62,546547,actuator,,,HU
TG:2:HU:2,MO,2,32,2.2637121,1.14163769,-0.973507324,218.3022279,11.8931642,3.914298384,172.23.0.62,546547,actuator,,,HU
TG:2:HU:2,DR,1,9,2.0171924,1.18381442,-0.962126763,218.3022279,11.8931642,3.914298384,172.23.0.62,546547,actuator,,,HU
TG:2:HU:2,NC1,--,--,1.9025819,0.71302053,-1.689009061,218.3022279,11.8931642,3.914298384,172.23.0.62,546547,actuator,,,HU
