GROUP,DEVICE,NUM,UID,X,Y,Z,T_X,T_Y,T_Z,PI IP,NODE ID,DEVICE_TYPE,CONFIG,INSTALLED,NODE_TYPE
TG:2:HU:3,DR,3,29,1841.9114,1696.55165,2100.388297,218302.2279,11893.1642,3914.298384,172.23.0.62,546545,actuator,,,HU
TG:2:HU:3,MO,5,26,1934.0502,1587.62327,2099.986627,218302.2279,11893.1642,3914.298384,172.23.0.62,546545,actuator,,,HU
TG:2:HU:3,MO,6,31,1911.3773,1475.36817,2005.882372,218302.2279,11893.1642,3914.298384,172.23.0.62,546545,actuator,,,HU
TG:2:HU:3,MO,4,21,2067.42,1606.75632,2161.776542,218302.2279,11893.1642,3914.298384,172.23.0.62,546545,actuator,,,HU
TG:2:HU:3,DR,2,22,2312.1068,1553.95383,2157.230312,218302.2279,11893.1642,3914.298384,172.23.0.62,546545,actuator,,,HU
TG:2:HU:3,MO,3,6,2178.1053,1513.58992,2129.504449,218302.2279,11893.1642,3914.298384,172.23.0.62,546545,actuator,,,HU
TG:2:HU:3,MO,1,25,2022.0649,1382.21719,1973.595057,218302.2279,11893.1642,3914.298384,172.23.0.62,546545,actuator,,,HU
TG:2:HU:3,MO,2,32,2155.4174,1401.31071,2035.428885,218302.2279,11893.1642,3914.298384,172.23.0.62,546545,actuator,,,HU
TG:2:HU:3,DR,1,9,2011.4797,1300.7999,1856.921681,218302.2279,11893.1642,3914.298384,172.23.0.62,546545,actuator,,,HU
TG:2:HU:3,AMP1,--,--,1805.6396,1341.08067,1642.302424,218302.2279,11893.1642,3914.298384,172.23.0.62,546545,actuator,,,HU
TG:2:HU:3,AMP2,--,--,1866.2621,1233.44157,1670.166496,218302.2279,11893.1642,3914.298384,172.23.0.62,546545,actuator,,,HU
TG:2:HU:3,OS,--,--,1833.6378,1179.62203,1677.132514,218302.2279,11893.1642,3914.298384,172.23.0.62,546545,actuator,,,HU
TG:2:HU:3,LS,--,--,1801.0134,1125.80248,1684.098532,218302.2279,11893.1642,3914.298384,172.23.0.62,546545,actuator,,,HU
