GROUP,DEVICE,NUM,UID,X,Y,Z,T_X,T_Y,T_Z,PI IP,NODE ID,DEVICE_TYPE,CONFIG,INSTALLED,NODE_TYPE,CONTROL IP
TG:2:HU:3,DR,3,29,1841.9114,1696.55165,-399.611703,218302.2279,11893.1642,3914.298384,172.23.0.82,393050,actuator,,,HU,172.23.0.99
TG:2:HU:3,MO,5,26,1934.0502,1587.62327,-400.013373,218302.2279,11893.1642,3914.298384,172.23.0.82,393050,actuator,,,HU,172.23.0.99
TG:2:HU:3,MO,6,31,1911.3773,1475.36817,-494.117628,218302.2279,11893.1642,3914.298384,172.23.0.82,393050,actuator,,,HU,172.23.0.99
TG:2:HU:3,MO,4,21,2067.42,1606.75632,-338.223458,218302.2279,11893.1642,3914.298384,172.23.0.82,393050,actuator,,,HU,172.23.0.99
TG:2:HU:3,DR,2,22,2312.1068,1553.95383,-342.769688,218302.2279,11893.1642,3914.298384,172.23.0.82,393050,actuator,,,HU,172.23.0.99
TG:2:HU:3,MO,3,6,2178.1053,1513.58992,-370.495551,218302.2279,11893.1642,3914.298384,172.23.0.82,393050,actuator,,,HU,172.23.0.99
TG:2:HU:3,MO,1,25,2022.0649,1382.21719,-526.404943,218302.2279,11893.1642,3914.298384,172.23.0.82,393050,actuator,,,HU,172.23.0.99
TG:2:HU:3,MO,2,32,2155.4174,1401.31071,-464.571115,218302.2279,11893.1642,3914.298384,172.23.0.82,393050,actuator,,,HU,172.23.0.99
TG:2:HU:3,DR,1,9,2011.4797,1300.7999,-643.078319,218302.2279,11893.1642,3914.298384,172.23.0.82,393050,actuator,,,HU,172.23.0.99
TG:2:HU:3,AMP1,--,--,1805.6396,1341.08067,-857.697576,218302.2279,11893.1642,3914.298384,172.23.0.82,393050,actuator,,,HU,172.23.0.99
TG:2:HU:3,AMP2,--,--,1866.2621,1233.44157,-829.833504,218302.2279,11893.1642,3914.298384,172.23.0.82,393050,actuator,,,HU,172.23.0.99
TG:2:HU:3,OS,--,--,1833.6378,1179.62203,-822.867486,218302.2279,11893.1642,3914.298384,172.23.0.82,393050,actuator,,,HU,172.23.0.99
TG:2:HU:3,LS,--,--,1801.0134,1125.80248,-815.901468,218302.2279,11893.1642,3914.298384,172.23.0.82,393050,actuator,,,HU,172.23.0.99
TG:2:HU:3,LC2,--,--,1738.0778,1125.80248,-822.867486,218302.2279,11893.1642,3914.298384,172.23.0.82,393050,actuator,,,HU,172.23.0.99
TG:2:HU:3,DA,--,--,1675.1422,1125.80248,-829.833504,218302.2279,11893.1642,3914.298384,172.23.0.82,393050,actuator,,,HU,172.23.0.99
TG:2:HU:3,WT,1,3,1679.7684,1341.08067,-871.629612,218302.2279,11893.1642,3914.298384,172.23.0.82,393050,actuator,,,HU,172.23.0.99
TG:2:GE:3,GE,1,18,1614.5196,1233.44157,-857.697576,218302.2279,11893.1642,3914.298384,172.23.0.82,393148,sensor,,,HU,172.23.0.99
TG:2:HU:3,NC1,--,--,1650.3436,677.51233,-1275.336308,218302.2279,11893.1642,3914.298384,172.23.0.82,393050,actuator,,,HU,172.23.0.99
TG:2:HU:3,NC2,--,--,1667.3688,629.40618,-1159.432848,218302.2279,11893.1642,3914.298384,172.23.0.82,393050,actuator,,,HU,172.23.0.99
TG:2:HU:3,PSB,--,--,1721.815,600.57927,-1144.802486,218302.2279,11893.1642,3914.298384,172.23.0.82,393050,actuator,,,HU,172.23.0.99
TG:2:HU:3,HC1,--,--,1776.2611,571.75237,-1130.172124,218302.2279,11893.1642,3914.298384,172.23.0.82,393050,actuator,,,HU,172.23.0.99
TG:2:HU:3,HC2,--,--,1868.1281,562.20471,-1216.814859,218302.2279,11893.1642,3914.298384,172.23.0.82,393050,actuator,,,HU,172.23.0.99
TG:2:HU:3,LC2,--,--,1851.1029,610.31086,-1332.718319,218302.2279,11893.1642,3914.298384,172.23.0.82,393050,actuator,,,HU,172.23.0.99
TG:2:HU:3,LC1,--,--,1742.2106,667.96467,-1361.979044,218302.2279,11893.1642,3914.298384,172.23.0.82,393050,actuator,,,HU,172.23.0.99
