GROUP,DEVICE,NUM,UID,X,Y,Z,T_X,T_Y,T_Z,PI IP,NODE ID,DEVICE_TYPE,CONFIG,INSTALLED,NODE_TYPE,CONTROL IP
TG:2:HU:3,DR,3,29,0,0,0,218302.2279,11893.1642,3914.298384,172.23.0.82,393050,actuator,,,HU,172.23.0.99
TG:2:HU:3,MO,5,26,10,10,10,218302.2279,11893.1642,3914.298384,172.23.0.82,393050,actuator,,,HU,172.23.0.99
TG:2:HU:3,MO,6,31,20,20,20,218302.2279,11893.1642,3914.298384,172.23.0.82,393050,actuator,,,HU,172.23.0.99
TG:2:HU:3,MO,4,21,30,30,30,218302.2279,11893.1642,3914.298384,172.23.0.82,393050,actuator,,,HU,172.23.0.99
TG:2:HU:3,DR,2,22,40,40,40,218302.2279,11893.1642,3914.298384,172.23.0.82,393050,actuator,,,HU,172.23.0.99
TG:2:HU:3,MO,3,6,50,50,50,218302.2279,11893.1642,3914.298384,172.23.0.82,393050,actuator,,,HU,172.23.0.99
TG:2:HU:3,MO,1,25,60,60,60,218302.2279,11893.1642,3914.298384,172.23.0.82,393050,actuator,,,HU,172.23.0.99
TG:2:HU:3,MO,2,32,70,70,70,218302.2279,11893.1642,3914.298384,172.23.0.82,393050,actuator,,,HU,172.23.0.99
TG:2:HU:3,DR,1,9,80,80,80,218302.2279,11893.1642,3914.298384,172.23.0.82,393050,actuator,,,HU,172.23.0.99
TG:2:HU:3,AMP1,--,--,90,90,90,218302.2279,11893.1642,3914.298384,172.23.0.82,393050,actuator,,,HU,172.23.0.99
TG:2:HU:3,AMP2,--,--,100,100,100,218302.2279,11893.1642,3914.298384,172.23.0.82,393050,actuator,,,HU,172.23.0.99
TG:2:HU:3,OS,--,--,110,110,110,218302.2279,11893.1642,3914.298384,172.23.0.82,393050,actuator,,,HU,172.23.0.99
TG:2:HU:3,LS,--,--,120,120,120,218302.2279,11893.1642,3914.298384,172.23.0.82,393050,actuator,,,HU,172.23.0.99
TG:2:HU:3,LC2,--,--,130,130,130,218302.2279,11893.1642,3914.298384,172.23.0.82,393050,actuator,,,HU,172.23.0.99
TG:2:HU:3,DA,--,--,140,140,140,218302.2279,11893.1642,3914.298384,172.23.0.82,393050,actuator,,,HU,172.23.0.99
TG:2:HU:3,WT,1,3,150,150,150,218302.2279,11893.1642,3914.298384,172.23.0.82,393050,actuator,TXPIN 4;,,HU,172.23.0.99
TG:2:GN:3,GE,1,18,160,160,160,218302.2279,11893.1642,3914.298384,172.23.0.82,393148,sensor,,,HU,172.23.0.99
TG:2:HU:3,NC1,--,--,170,170,170,218302.2279,11893.1642,3914.298384,172.23.0.82,393050,actuator,,,HU,172.23.0.99
TG:2:HU:3,NC2,--,--,180,180,180,218302.2279,11893.1642,3914.298384,172.23.0.82,393050,actuator,,,HU,172.23.0.99
TG:2:HU:3,PSB,--,--,190,190,190,218302.2279,11893.1642,3914.298384,172.23.0.82,393050,actuator,,,HU,172.23.0.99
TG:2:HU:3,HC1,--,--,200,200,200,218302.2279,11893.1642,3914.298384,172.23.0.82,393050,actuator,,,HU,172.23.0.99
TG:2:HU:3,HC2,--,--,210,210,210,218302.2279,11893.1642,3914.298384,172.23.0.82,393050,actuator,,,HU,172.23.0.99
TG:2:HU:3,LC2,--,--,220,220,220,218302.2279,11893.1642,3914.298384,172.23.0.82,393050,actuator,,,HU,172.23.0.99
TG:2:HU:3,LC1,--,--,230,230,230,218302.2279,11893.1642,3914.298384,172.23.0.82,393050,actuator,,,HU,172.23.0.99
