GROUP,DEVICE,NUM,UID,X,Y,Z,T_X,T_Y,T_Z,PI IP,NODE ID,DEVICE_TYPE,CONFIG,INSTALLED,NODE_TYPE,CONTROL IP
TG:5:HU:1,DR,3,29,647.7161417,190.577614,395.4955409,218302.2279,11893.1642,3914.298384,172.23.0.85,362145,actuator,,,HU,172.23.0.91
TG:5:HU:1,MO,6,31,759.9606417,151.099094,175.2193249,218302.2279,11893.1642,3914.298384,172.23.0.85,362145,actuator,,,HU,172.23.0.91
TG:5:HU:1,MO,5,26,693.5607417,242.798984,270.8909589,218302.2279,11893.1642,3914.298384,172.23.0.85,362145,actuator,,,HU,172.23.0.91
TG:5:HU:1,MO,4,21,639.9411417,372.767774,223.9375579,218302.2279,11893.1642,3914.298384,172.23.0.85,362145,actuator,,,HU,172.23.0.91
TG:5:HU:1,MO,3,6,652.7781417,411.062354,81.31411388,218302.2279,11893.1642,3914.298384,172.23.0.85,362145,actuator,,,HU,172.23.0.91
TG:5:HU:1,DR,2,22,569.1067417,514.732334,30.26530288,218302.2279,11893.1642,3914.298384,172.23.0.85,362145,actuator,,,HU,172.23.0.91
TG:5:HU:1,MO,1,25,772.7786417,189.383244,32.59625188,218302.2279,11893.1642,3914.298384,172.23.0.85,362145,actuator,,,HU,172.23.0.91
TG:5:HU:1,MO,2,32,719.2150417,319.375724,-14.34818912,218302.2279,11893.1642,3914.298384,172.23.0.85,362145,actuator,,,HU,172.23.0.91
TG:5:HU:1,DR,1,9,800.3653417,87.69741397,-63.59345112,218302.2279,11893.1642,3914.298384,172.23.0.85,362145,actuator,,,HU,172.23.0.91
TG:5:HU:1,LC2,--,--,1375.341942,177.006494,368.0878509,218302.2279,11893.1642,3914.298384,172.23.0.85,362145,actuator,,,HU,172.23.0.91
TG:5:HU:1,HC1,--,--,1319.354442,272.067524,430.2687669,218302.2279,11893.1642,3914.298384,172.23.0.85,362145,actuator,,,HU,172.23.0.91
TG:5:HU:1,PSB,--,--,1347.348142,224.537004,399.1783089,218302.2279,11893.1642,3914.298384,172.23.0.85,362145,actuator,,,HU,172.23.0.91
TG:5:HU:1,HC2,--,--,1286.770442,377.675334,368.4387599,218302.2279,11893.1642,3914.298384,172.23.0.85,362145,actuator,,,HU,172.23.0.91
TG:5:HU:1,LC1,--,--,1398.745542,187.553254,244.0769289,218302.2279,11893.1642,3914.298384,172.23.0.85,362145,actuator,,,HU,172.23.0.91
TG:5:HU:1,RPi,--,--,1382.453542,240.357164,213.1619249,218302.2279,11893.1642,3914.298384,172.23.0.85,362145,actuator,,,HU,172.23.0.91
TG:5:HU:1,NC2,--,--,1366.161642,293.161064,182.2469219,218302.2279,11893.1642,3914.298384,172.23.0.85,362145,actuator,,,HU,172.23.0.91
TG:5:HU:1,NC1,--,--,1310.174042,388.222104,244.4278369,218302.2279,11893.1642,3914.298384,172.23.0.85,362145,actuator,,,HU,172.23.0.91
TG:5:HU:2,LC1,--,--,1336.861542,512.848944,-116.6264601,218302.2279,11893.1642,3914.298384,172.23.0.85,432792,actuator,,,HU,172.23.0.91
TG:5:HU:2,NC1,--,--,1313.434942,502.366814,7.385600876,218302.2279,11893.1642,3914.298384,172.23.0.85,432792,actuator,,,HU,172.23.0.91
TG:5:HU:2,NC2,--,--,1257.476342,597.478064,69.51571988,218302.2279,11893.1642,3914.298384,172.23.0.85,432792,actuator,,,HU,172.23.0.91
TG:5:HU:2,PSB,--,--,1241.210342,650.274764,38.57474888,218302.2279,11893.1642,3914.298384,172.23.0.85,432792,actuator,,,HU,172.23.0.91
TG:5:HU:2,HC1,--,--,1224.944342,703.071454,7.633777876,218302.2279,11893.1642,3914.298384,172.23.0.85,432792,actuator,,,HU,172.23.0.91
